HTR: NOTI01181/NOTI01181000019.xml#r3l2         | buker
GT : 12788_NOTI01181/NOTI01181000252.xml#r2l30  | mogt goedvinden nevens zig te verkiesen, gelyk

HTR: NOTI01181/NOTI01181000252.xml#r2l30        | mede om andere aan te stellen en te Commit¬
GT : 12788_NOTI01181/NOTI01181000252.xml#r2l31  | mede om andere aan te Stellen en te Commit¬

HTR: NOTI01181/NOTI01181000253.xml#r1l2         | den testateur na Rechten competerende
GT : 12788_NOTI01181/NOTI01181000253.xml#r1l2   | den testateur na Rechten competerende.

HTR: NOTI01181/NOTI01181000253.xml#r1l6         | Notaris duydelyk, was voorgeleesen) te weesen
GT : 12788_NOTI01181/NOTI01181000253.xml#r1l6   | Notaris duydelyk was voorgeleesen) te weesen

HTR: NOTI01181/NOTI01181000253.xml#r1l7         | hun beijder en elks Testament en uytterste wie
GT : 12788_NOTI01181/NOTI01181000253.xml#r1l7   | hun beijder en elks Testament en uytterste wil

HTR: NOTI01181/NOTI01181000253.xml#r1l9         | t geen zij begeerden dat na hun overlyden zallen
GT : 12788_NOTI01181/NOTI01181000253.xml#r1l9   | t geen zij begeerden dat nu hun overlyden zallen

HTR: NOTI01181/NOTI01181000253.xml#r1l10        | ^'t zij als een volkomen
GT : 12788_NOTI01181/NOTI01181000253.xml#r1l10  | ^ 't zij als een volkomen

HTR: NOTI01181/NOTI01181000253.xml#r1l14        | Gepasseert binnen Amsteldam ten Com¬
GT : 12788_NOTI01181/NOTI01181000253.xml#r1l14  | Gepasseert binnen Amsteldam ten Com

HTR: NOTI01181/NOTI01181000253.xml#r1l20        | H:M: Hoet
GT : 12788_NOTI01181/NOTI01181000253.xml#r1l20  | H.M. Hoet

HTR: NOTI01181/NOTI01181000254.xml#r1l6         | IJsbrand Beth, zoo voor zig
GT : 12788_NOTI01181/NOTI01181000254.xml#r1l6   | IJsbrand Beth, Zoo voor Zig

HTR: NOTI01181/NOTI01181000254.xml#r1l7         | als in de naam van zijn Compagnie
GT : 12788_NOTI01181/NOTI01181000254.xml#r1l7   | als in de naam van Zijn Compagnie

HTR: NOTI01181/NOTI01181000254.xml#r1l12        | Gt
GT : 12788_NOTI01181/NOTI01181000254.xml#r1l12  | Gt.

HTR: NOTI01181/NOTI01181000255.xml#r3l2         | Stad zoo voor zig als in de naam van desselvs Com
GT : 12788_NOTI01181/NOTI01181000255.xml#r3l2   | Stad Zoo voor zig als in de naam van desselvs Com

HTR: NOTI01181/NOTI01181000255.xml#r3l5         | En Verklaarde de Heer Comparant (die aan mij
GT : 12788_NOTI01181/NOTI01181000255.xml#r3l5   | En Verklaarde de Heer Comparant (die aan my

HTR: NOTI01181/NOTI01181000255.xml#r3l12        | teeren van de nadeelige te appelleeren of refor¬
GT : 12788_NOTI01181/NOTI01181000255.xml#r3l12  | teeren van de nadeelige te appelleeren of refor

HTR: NOTI01181/NOTI01181000255.xml#r3l13        | meeren, allerhande arreste op persoone, penningen
GT : 12788_NOTI01181/NOTI01181000255.xml#r3l13  | meeren, allerhande arreste op persoonen, penningen

HTR: NOTI01181/NOTI01181000255.xml#r3l14        | en goederen, te doen, deselve te laten beklagen,
GT : 12788_NOTI01181/NOTI01181000255.xml#r3l14  | en goederen te doen, deselve te laten beklagen,

HTR: NOTI01181/NOTI01181000255.xml#r3l16        | weder bevryding te beloven, en verders in Rach
GT : 12788_NOTI01181/NOTI01181000255.xml#r3l16  | weder bevryding te beloven, en verder in Rech¬

HTR: NOTI01181/NOTI01181000255.xml#r3l17        | ten alles meer te doen, en verrichten dat zal
GT : 12788_NOTI01181/NOTI01181000255.xml#r3l17  | ten alles meer te doen, en verrichten, dat zal

HTR: NOTI01181/NOTI01181000255.xml#r3l18        | werden vereyst en gebruykelyk is, belovende den
GT : 12788_NOTI01181/NOTI01181000255.xml#r3l18  | werden vereyst, en gebruykelyk is, belovende den

HTR: NOTI01181/NOTI01181000255.xml#r3l19        | Hr: Comparant van waarde te zullen houden
GT : 12788_NOTI01181/NOTI01181000255.xml#r3l20  | Hr= Comparant van waarde te zullen houden

HTR: NOTI01181/NOTI01181000255.xml#r3l20        | en doen houden, 't geen door de geconstitueerde
GT : 12788_NOTI01181/NOTI01181000255.xml#r3l21  | en doen houden; t geen door de geconstitueerde

HTR: NOTI01181/NOTI01181000255.xml#r3l24        | Gepasseert binnen Amsteldam in presentie van
GT : 12788_NOTI01181/NOTI01181000255.xml#r3l25  | Gepasseert binnen Amsteldam in praesentie van

HTR: NOTI01181/NOTI01181000255.xml#r3l27        | IJsbrand B
GT : 12788_NOTI01181/NOTI01181000255.xml#r3l28  | Ysbrand Beth

HTR: NOTI01181/NOTI01181000255.xml#r2l2         | No. 86
GT : 12788_NOTI01181/NOTI01181000255.xml#r2l2   | No. 86.

HTR: NOTI01181/NOTI01181000255.xml#r1l5         | bij den Hove van Holland geadmit
GT : 12788_NOTI01181/NOTI01181000255.xml#r1l5   | bij den Hove van Holland geadmit¬

HTR: NOTI01181/NOTI01181000256.xml#r3l1         | Op den sesden Jul Van Loon
GT : 12788_NOTI01181/NOTI01181000256.xml#r3l1   | Op den Sesden Julij Van Loon

HTR: NOTI01181/NOTI01181000256.xml#r3l2         | des Jaars seventien hondert vijf en
GT : 12788_NOTI01181/NOTI01181000256.xml#r3l2   | des Jaars Seventien hondert vijf en

HTR: NOTI01181/NOTI01181000256.xml#r3l11        | Meijer
GT : 12788_NOTI01181/NOTI01181000256.xml#r3l11  | meijer

HTR: NOTI01181/NOTI01181000256.xml#r3l12        | en Bart Winter Tuijnier wonen¬
GT : 12788_NOTI01181/NOTI01181000256.xml#r3l12  | en Bart Winter ^ Tuijnier wonen¬

HTR: NOTI01181/NOTI01181000256.xml#r3l15        | stad en weesende van genoegsaame ouder
GT : 12788_NOTI01181/NOTI01181000256.xml#r3l15  | stad en weesende van genoegsaame ouder¬

HTR: NOTI01181/NOTI01181000256.xml#r3l16        | dom
GT : 12788_NOTI01181/NOTI01181000256.xml#r3l16  | dom.

HTR: NOTI01181/NOTI01181000256.xml#r3l18        | hoeven van deselve Heer Cornelis
GT : 12788_NOTI01181/NOTI01181000256.xml#r3l18  | hoeven, van deselve Heer Cornelis

HTR: NOTI01181/NOTI01181000256.xml#r3l21        | verklaard
GT : 12788_NOTI01181/NOTI01181000256.xml#r3l21  | verklaard.

HTR: NOTI01181/NOTI01181000256.xml#r2l1         | No: 87
GT : 12788_NOTI01181/NOTI01181000256.xml#r2l1   | N:o 87

HTR: NOTI01181/NOTI01181000256.xml#r2l2         | Gt.
GT : 12788_NOTI01181/NOTI01181000256.xml#r2l2   | G.t

HTR: NOTI01181/NOTI01181000257.xml#r2l4         | deur er tevorens nooijt geweest is als
GT : 12788_NOTI01181/NOTI01181000257.xml#r2l4   | deur er tevorens  nooijt geweest is als

HTR: NOTI01181/NOTI01181000257.xml#r2l6         | het voornoemde suk Rietland van de
GT : 12788_NOTI01181/NOTI01181000257.xml#r2l6   | het voornoemde stuk Rietland van de

HTR: NOTI01181/NOTI01181000257.xml#r2l7         | luijn en het erv van hem Cornelis Hoos
GT : 12788_NOTI01181/NOTI01181000257.xml#r2l7   | tuijn en het erv van hem Cornelis Hoos

HTR: NOTI01181/NOTI01181000257.xml#r2l10        | sodanig een wijtter dat hij eerste getuij¬
GT : 12788_NOTI01181/NOTI01181000257.xml#r2l10  | sodanig een wijtte dat hij eerste getuij¬

HTR: NOTI01181/NOTI01181000257.xml#r2l12        | er door heeft gevaaren)
GT : 12788_NOTI01181/NOTI01181000257.xml#r2l12  | er door heeft gevaaren).

HTR: NOTI01181/NOTI01181000257.xml#r2l17        | tigen
GT : 12788_NOTI01181/NOTI01181000257.xml#r2l17  | tigen.

HTR: NOTI01181/NOTI01181000257.xml#r2l19        | in prasentie van Isaac Duijm
GT : 12788_NOTI01181/NOTI01181000257.xml#r2l19  | in præsentie van Isaac Duijm

HTR: NOTI01181/NOTI01181000257.xml#r2l25        | Ilaak Duim Junior
GT : 12788_NOTI01181/NOTI01181000257.xml#r2l25  | Izaak Duim Junior

HTR: NOTI01181/NOTI01181000257.xml#r2l27        | H:V: Heel
GT : 12788_NOTI01181/NOTI01181000257.xml#r2l27  | H: V: Heel

HTR: NOTI01181/NOTI01181000257.xml#r2l28        | Notaris
GT : 12788_NOTI01181/NOTI01181000257.xml#r2l28  | Notaris.

HTR: NOTI01181/NOTI01181000257.xml#r1l1         | ses Jaaren als Tuijnier in de tuijn van
GT : 12788_NOTI01181/NOTI01181000257.xml#r1l1   | ses jaaren als Tuijnier in de tuijn van

HTR: NOTI01181/NOTI01181000257.xml#r1l9         | een stuk rietland, 't geen van tijd tot
GT : 12788_NOTI01181/NOTI01181000257.xml#r1l9   | een stuk rietland, 't geen  van tijd tot

HTR: NOTI01181/NOTI01181000257.xml#r1l15        | hem Jan Jacob Paus afgeslagen dogr
GT : 12788_NOTI01181/NOTI01181000257.xml#r1l15  | hem Jan Jacob Paus afgeslagen dog

HTR: NOTI01181/NOTI01181000257.xml#r1l17        | Jan Jacob Paus de gemelde Cornelis Hoe¬
GT : 12788_NOTI01181/NOTI01181000257.xml#r1l17  | Jan Jacob Paus de gemelde Cornelis Hoos

HTR: NOTI01181/NOTI01181000257.xml#r1l20        | was diverse schuijten met sand en
GT : 12788_NOTI01181/NOTI01181000257.xml#r1l20  | was, diverse schuijten met sand en

HTR: NOTI01181/NOTI01181000257.xml#r1l24        | desselvs schuijtenhuijs 't geen ter helft
GT : 12788_NOTI01181/NOTI01181000257.xml#r1l24  | desselvs schuijtenhuijs 't geen ter helfte

HTR: NOTI01181/NOTI01181000258.xml#r1l5         | Jacobus Welman no. ux.
GT : 12788_NOTI01181/NOTI01181000258.xml#r1l5   | Jacobus Welman no. ur.

HTR: NOTI01181/NOTI01181000259.xml#r3l1         | de Heer Jacobus Welman
GT : 12788_NOTI01181/NOTI01181000259.xml#r3l1   | De Heer Jacobus Welman

HTR: NOTI01181/NOTI01181000259.xml#r3l4         | dog zijnde althans binnen dese stad.
GT : 12788_NOTI01181/NOTI01181000259.xml#r3l4   | dog zijnde althans binnen dese stad

HTR: NOTI01181/NOTI01181000259.xml#r3l7         | zijnde de Comparanten beijde aan
GT : 12788_NOTI01181/NOTI01181000259.xml#r3l7   | Zijnde de Comparanten beijde aan

HTR: NOTI01181/NOTI01181000259.xml#r3l8         | mij Notaris bekend.
GT : 12788_NOTI01181/NOTI01181000259.xml#r3l8   | mij Notaris bekend

HTR: NOTI01181/NOTI01181000259.xml#r3l10        | Bronkhorst bij desselvs testament op den
GT : 12788_NOTI01181/NOTI01181000259.xml#r3l10  | Bronkhorst bij desselves testament op den

HTR: NOTI01181/NOTI01181000259.xml#r3l11        | 10e: Julij des Jaars 1730 voor de Notaris
GT : 12788_NOTI01181/NOTI01181000259.xml#r3l11  | 10e Julij des Jaars 1730 voor de Notaris

HTR: NOTI01181/NOTI01181000259.xml#r3l13        | stad gepasseert des eerste Comparants huijs¬
GT : 12788_NOTI01181/NOTI01181000259.xml#r3l13  | stad gepasseert des eerste comparants huijs¬

HTR: NOTI01181/NOTI01181000259.xml#r3l15        | den tweede Comparant tot desselvs Ervge¬
GT : 12788_NOTI01181/NOTI01181000259.xml#r3l15  | den tweede comparant tot desselvs Ervge¬

HTR: NOTI01181/NOTI01181000259.xml#r3l18        | Comparants huijsvrouw en van den tweede
GT : 12788_NOTI01181/NOTI01181000259.xml#r3l18  | comparants huijsvrouw en van den tweede

HTR: NOTI01181/NOTI01181000259.xml#r3l19        | Comparant uijt de revenuen van de Effecten
GT : 12788_NOTI01181/NOTI01181000259.xml#r3l19  | comparant uijt de revenuen van de Effecten

HTR: NOTI01181/NOTI01181000259.xml#r3l21        | gelaten, gelegateert vijf hondert ases
GT : 12788_NOTI01181/NOTI01181000259.xml#r3l21  | gelaten, gelegateert vijf hondert a ses

HTR: NOTI01181/NOTI01181000259.xml#r3l23        | hondert guldens ^ en vervolgens tot Executeurs
GT : 12788_NOTI01181/NOTI01181000259.xml#r3l23  | hondert guldens, en vervolgens tot Excecuteurs

HTR: NOTI01181/NOTI01181000259.xml#r1l6         | geadmitteert
GT : 12788_NOTI01181/NOTI01181000259.xml#r1l6   | geadmitteert.

HTR: NOTI01181/NOTI01181000260.xml#r2l25        | te dier tijd door het huwelijk mondig
GT : 12788_NOTI01181/NOTI01181000260.xml#r2l25  | te dier tyd door het huwelijk mondig

HTR: NOTI01181/NOTI01181000260.xml#r1l2         | hen van
GT : 12788_NOTI01181/NOTI01181000260.xml#r1l1   | hen van deselvs

HTR: NOTI01181/NOTI01181000260.xml#r1l3         | strateurs der goederen door hen van Johan
GT : 12788_NOTI01181/NOTI01181000260.xml#r1l2   | strateurs der goederen door hen van Johan¬

HTR: NOTI01181/NOTI01181000260.xml#r1l4         | nes van Bronkhorst te erven met uij¬
GT : 12788_NOTI01181/NOTI01181000260.xml#r1l3   | nes van Bronkhorst te erven, met uijt¬

HTR: NOTI01181/NOTI01181000260.xml#r1l6         | teren deser stad, gecommitteert de Heeren
GT : 12788_NOTI01181/NOTI01181000260.xml#r1l5   | teren deser stad, gecommitteert de Heere

HTR: NOTI01181/NOTI01181000260.xml#r1l7         | Anthonij Loofs Medicina Doctor bin¬
GT : 12788_NOTI01181/NOTI01181000260.xml#r1l6   | Anthonij Loofs Medicinae Doctor bin¬

HTR: NOTI01181/NOTI01181000260.xml#r1l9         | ders tot toesiende voogd en mede administaa¬
GT : 12788_NOTI01181/NOTI01181000260.xml#r1l8   | ders tot toesiende voogd en mede administra¬

HTR: NOTI01181/NOTI01181000260.xml#r1l10        | teur de Heer Arnoldus Wittebol Vederman
GT : 12788_NOTI01181/NOTI01181000260.xml#r1l9   | teur de Heer Arnoldus Wittebol Vederman,

HTR: NOTI01181/NOTI01181000261.xml#r2l12        | Juufvrouw Catharina van Bronkhorst
GT : 12788_NOTI01181/NOTI01181000261.xml#r2l12  | Jufvrouw Catharina van Bronkhorst

HTR: NOTI01181/NOTI01181000261.xml#r2l17        | taris Dirk van Lobbrechten getuijgen te Utrecht
GT : 12788_NOTI01181/NOTI01181000261.xml#r2l17  | taris Dirk van Lobbrecht en getuijgen te Utrecht

HTR: NOTI01181/NOTI01181000261.xml#r2l19        | eduwe
GT : 12788_NOTI01181/NOTI01181000261.xml#r2l19  | weduwe

HTR: NOTI01181/NOTI01181000261.xml#r2l21        | Maria Steenbergen van Barend Wijland
GT : 12788_NOTI01181/NOTI01181000261.xml#r2l20  | ^

HTR: NOTI01181/NOTI01181000261.xml#r2l25        | bovengemelt gemeen gebleven, dewelke onder
GT : 12788_NOTI01181/NOTI01181000261.xml#r2l25  | bovengemelt. gemeen gebleven, dewelke onder

HTR: NOTI01181/NOTI01181000261.xml#r2l27        | Barend Wyland zijn geweest, met de Bocken¬
GT : 12788_NOTI01181/NOTI01181000261.xml#r2l27  | Barend Wyland zijn geweest, met de Boeken,

HTR: NOTI01181/NOTI01181000261.xml#r1l7         | den twede Comparant aanbedeelt overgelever
GT : 12788_NOTI01181/NOTI01181000261.xml#r1l7   | den twede Comparant aanbedeelt overgelevert

HTR: NOTI01181/NOTI01181000261.xml#r1l16        | den tweede Comparant deswegens op den
GT : 12788_NOTI01181/NOTI01181000261.xml#r1l16  | den tweede Comparant des wegens op den

HTR: NOTI01181/NOTI01181000261.xml#r1l17        | 16e: Julij des Jaars 1744 insgelijks ten over¬
GT : 12788_NOTI01181/NOTI01181000261.xml#r1l17  | 16e: Julij des Jaars 1744 insgelijks ten over

HTR: NOTI01181/NOTI01181000261.xml#r1l21        | land gepasseert; dog dat bij de gemelde ace
GT : 12788_NOTI01181/NOTI01181000261.xml#r1l21  | land gepasseert; dog dat bij de gemelde acte

HTR: NOTI01181/NOTI01181000261.xml#r1l27        | overlijden toe, om daar uijt ingevolgen het
GT : 12788_NOTI01181/NOTI01181000261.xml#r1l27  | overlijden  toe, om daar uijt ingevolgen het

HTR: NOTI01181/NOTI01181000262.xml#r4l2         | 1000 :
GT : 12788_NOTI01181/NOTI01181000262.xml#r4l2   | 1000:

HTR: NOTI01181/NOTI01181000262.xml#r4l3         | 933 : 6
GT : 12788_NOTI01181/NOTI01181000262.xml#r4l3   | 933:6

HTR: NOTI01181/NOTI01181000262.xml#r3l1         | Eene op de naam van No
GT : 12788_NOTI01181/NOTI01181000262.xml#r3l1   | Eene op de naam van No.

HTR: NOTI01181/NOTI01181000262.xml#r3l3         | Fredriks, Echteluijden in dato
GT : 12788_NOTI01181/NOTI01181000262.xml#r3l3   | Frederiks, Echteluijden in dato

HTR: NOTI01181/NOTI01181000262.xml#r3l5         | geaggreeert 26 Junij 1711 No.
GT : 12788_NOTI01181/NOTI01181000262.xml#r3l5   | geaggreeert 26 Junij 1711 No=

HTR: NOTI01181/NOTI01181000262.xml#r3l6         | 23122 regta. Fol: 1361. Groot
GT : 12788_NOTI01181/NOTI01181000262.xml#r3l6   | 23122 Rege. Fol: 1561 Groot

HTR: NOTI01181/NOTI01181000262.xml#r3l8         | Een op de naam van No: 30
GT : 12788_NOTI01181/NOTI01181000262.xml#r3l8   | Een op de naam van No. 30

HTR: NOTI01181/NOTI01181000262.xml#r3l10        | 1709 Fol: 1691 verso en geaggt.
GT : 12788_NOTI01181/NOTI01181000262.xml#r3l10  | 1709 Fol: 1691 verso en geaggt:

HTR: NOTI01181/NOTI01181000262.xml#r3l11        | 20 Augustus 1709 No. 19214
GT : 12788_NOTI01181/NOTI01181000262.xml#r3l11  | 20 augustus 1709 No. 19214

HTR: NOTI01181/NOTI01181000262.xml#r3l12        | Regta. Fol: 1297, groot in
GT : 12788_NOTI01181/NOTI01181000262.xml#r3l12  | Regta. Fol: 1297. groot in

HTR: NOTI01181/NOTI01181000262.xml#r3l15        | Jacob Jacobsz, gedateerd den
GT : 12788_NOTI01181/NOTI01181000262.xml#r3l15  | Jacob Jacobsz, gedateert den

HTR: NOTI01181/NOTI01181000262.xml#r3l16        | eersten Junius 1689 No. 659
GT : 12788_NOTI01181/NOTI01181000262.xml#r3l16  | eersten Junius 1689 No. 659,

HTR: NOTI01181/NOTI01181000262.xml#r3l17        | folio 55 verso en geaggt. 24 feb:
GT : 12788_NOTI01181/NOTI01181000262.xml#r3l17  | Folio 55 verso en geaggt. 24 feb.

HTR: NOTI01181/NOTI01181000262.xml#r3l18        | 1690 num 7801. rega fol 578
GT : 12788_NOTI01181/NOTI01181000262.xml#r3l18  | 1690 num 7801. rega. fol 578

HTR: NOTI01181/NOTI01181000262.xml#r3l20        | Een op de naam van No. 9
GT : 12788_NOTI01181/NOTI01181000262.xml#r3l20  | Een op de naam van No: 9

HTR: NOTI01181/NOTI01181000262.xml#r3l22        | gedateerd 30 October 1725 en
GT : 12788_NOTI01181/NOTI01181000262.xml#r3l22  | gedateert 30 October 1725 en

HTR: NOTI01181/NOTI01181000262.xml#r3l24        | No. 27134 regta. Fol 1168
GT : 12788_NOTI01181/NOTI01181000262.xml#r3l24  | No= 27134 regta: Fol 1168.

HTR: NOTI01181/NOTI01181000262.xml#r3l28        | 1 October 1687 No: 375 foli0 232
GT : 12788_NOTI01181/NOTI01181000262.xml#r3l28  | 1 October 1687 No: 375 folio 232

HTR: NOTI01181/NOTI01181000262.xml#r2l4         | rectie en administratie van hem Barend
GT : 12788_NOTI01181/NOTI01181000262.xml#r2l4   | rectie en administratie van hem Berend

HTR: NOTI01181/NOTI01181000262.xml#r2l5         | Wijland en zijne bovengemelde qualiteijt
GT : 12788_NOTI01181/NOTI01181000262.xml#r2l5   | Wijland en Zijne bovengemelde qualiteijt

HTR: NOTI01181/NOTI01181000262.xml#r2l6         | zijnde geweest als
GT : 12788_NOTI01181/NOTI01181000262.xml#r2l6   | zijnde geweest als.

HTR: NOTI01181/NOTI01181000262.xml#r2l9         | in de kalverstraat op de zuij¬
GT : 12788_NOTI01181/NOTI01181000262.xml#r2l9   | in de klaverstraat op de Zuij¬

HTR: NOTI01181/NOTI01181000262.xml#r2l10        | der hoek van de St: Jorissteeg
GT : 12788_NOTI01181/NOTI01181000262.xml#r2l10  | der hoek van de St. Jorissteeg

HTR: NOTI01181/NOTI01181000262.xml#r2l12        | ver daer aan in dato 29 Junij
GT : 12788_NOTI01181/NOTI01181000262.xml#r2l12  | ver daer agter aan in dato 29 Junij

HTR: NOTI01181/NOTI01181000262.xml#r2l13        | 1680
GT : 12788_NOTI01181/NOTI01181000262.xml#r2l13  | 1680.

HTR: NOTI01181/NOTI01181000262.xml#r2l15        | van 't gemeene land van
GT : 12788_NOTI01181/NOTI01181000262.xml#r2l15  | van't gemeene land van

HTR: NOTI01181/NOTI01181000262.xml#r2l20        | tje Pieters weduwe Claas Pietersz
GT : 12788_NOTI01181/NOTI01181000262.xml#r2l20  | tje Pieters weduwe Claas Pietersz:

HTR: NOTI01181/NOTI01181000262.xml#r2l21        | van Famen in dato 24 Maart
GT : 12788_NOTI01181/NOTI01181000262.xml#r2l21  | van Famen in dato 24. Maart

HTR: NOTI01181/NOTI01181000262.xml#r2l28        | 1721 fol: 430 versoen geaggt.
GT : 12788_NOTI01181/NOTI01181000262.xml#r2l27  | 1721 fol: 430 verso en geaggt=

HTR: NOTI01181/NOTI01181000262.xml#r2l29        | 2 Februarij 1722. regta fol: 1839
GT : 12788_NOTI01181/NOTI01181000262.xml#r2l28  | 2 Februarij 1722 regta= fol: 1839

HTR: NOTI01181/NOTI01181000262.xml#r2l30        | No. 26757 groot in Capitaal „ 1000 :
GT : 12788_NOTI01181/NOTI01181000262.xml#r2l29  | No: 26757 groot in Capitaal „ 1000:

HTR: NOTI01181/NOTI01181000262.xml#r1l2         | voorn. steeg, tin
GT : 12788_NOTI01181/NOTI01181000262.xml#r1l2   | voorn. steeg, En

HTR: NOTI01181/NOTI01181000262.xml#r1l4         | Huijsje en erve
GT : 12788_NOTI01181/NOTI01181000262.xml#r1l4   | een Huijsje en erve

HTR: NOTI01181/NOTI01181000262.xml#r1l5         | en deselve gang
GT : 12788_NOTI01181/NOTI01181000262.xml#r1l5   | in deselve gang

HTR: NOTI01181/NOTI01181000262.xml#r1l6         | duur agter
GT : 12788_NOTI01181/NOTI01181000262.xml#r1l6   | daar agter

HTR: NOTI01181/NOTI01181000263.xml#r3l1         | 22 Julij 1716 No: 846 rega fob
GT : 12788_NOTI01181/NOTI01181000263.xml#r3l1   | 22 Julij 1716 No: 846 rega fol

HTR: NOTI01181/NOTI01181000263.xml#r3l3         | 1000:
GT : 12788_NOTI01181/NOTI01181000263.xml#r3l3   | 1000 :

HTR: NOTI01181/NOTI01181000263.xml#r3l11        | 1745 No. 20, eene deel fo.
GT : 12788_NOTI01181/NOTI01181000263.xml#r3l11  | 1715 No: 20 eene deel fo.

HTR: NOTI01181/NOTI01181000263.xml#r3l13        | ƒ600 :
GT : 12788_NOTI01181/NOTI01181000263.xml#r3l13  | ƒ 600 :

HTR: NOTI01181/NOTI01181000263.xml#r3l23        | 2500:
GT : 12788_NOTI01181/NOTI01181000263.xml#r3l22  | 2500 :

HTR: NOTI01181/NOTI01181000263.xml#r3l24        | perrest.
GT : 12788_NOTI01181/NOTI01181000263.xml#r3l23  | per rest.

HTR: NOTI01181/NOTI01181000263.xml#r3l25        | en dat met de bewijsen van eijgend om
GT : 12788_NOTI01181/NOTI01181000263.xml#r3l24  | en dat met de bewijsen van eijgendom

HTR: NOTI01181/NOTI01181000263.xml#r3l27        | lands obligatien en die ten lasten de Pro¬
GT : 12788_NOTI01181/NOTI01181000263.xml#r3l26  | lands obligatien, en die ten lasten de Pro¬

HTR: NOTI01181/NOTI01181000263.xml#r3l31        | genoomen te hebben seven huurcedullen
GT : 12788_NOTI01181/NOTI01181000263.xml#r3l29  | genoomen te hebben Seven huurcedullen

HTR: NOTI01181/NOTI01181000263.xml#r2l4         | van't gemeene land van
GT : 12788_NOTI01181/NOTI01181000263.xml#r2l4   | van 't gemeene land van

HTR: NOTI01181/NOTI01181000263.xml#r2l6         | ten Comptoire van den
GT : 12788_NOTI01181/NOTI01181000263.xml#r2l6   | ter Comptoire van den

HTR: NOTI01181/NOTI01181000263.xml#r2l7         | ontvanger Generaal ins'
GT : 12788_NOTI01181/NOTI01181000263.xml#r2l7   | ontvanger Generaal in s'

HTR: NOTI01181/NOTI01181000263.xml#r2l12        | 9 April 1704 fol: 3054 Vso
GT : 12788_NOTI01181/NOTI01181000263.xml#r2l11  | 9 April 1704 fol: 3054 Vso.

HTR: NOTI01181/NOTI01181000263.xml#r2l14        | No. 15584, Rega fol 1110 groot
GT : 12788_NOTI01181/NOTI01181000263.xml#r2l13  | No. 15584, Reg a fol 1110 groot

HTR: NOTI01181/NOTI01181000263.xml#r2l19        | Een geaateert 5 October 1724
GT : 12788_NOTI01181/NOTI01181000263.xml#r2l18  | Een gedateerd 5 October 1724

HTR: NOTI01181/NOTI01181000263.xml#r2l20        | fol: 4411 verso, No. 4 en geaggt.
GT : 12788_NOTI01181/NOTI01181000263.xml#r2l19  | fol: 4411 verso. No. 4 en geaggt.

HTR: NOTI01181/NOTI01181000263.xml#r2l22        | 1800:
GT : 12788_NOTI01181/NOTI01181000263.xml#r2l21  | 1800 :

HTR: NOTI01181/NOTI01181000263.xml#r2l23        | rega fol: X 134 groot in Cap.
GT : 12788_NOTI01181/NOTI01181000263.xml#r2l22  | rega fol. X 134 groot in Capl.

HTR: NOTI01181/NOTI01181000263.xml#r2l24        | en Een geddteert 18 Julij 1724
GT : 12788_NOTI01181/NOTI01181000263.xml#r2l23  | en Een gedateerd 18 Julij 1724

HTR: NOTI01181/NOTI01181000263.xml#r2l26        | Maij 1725 num 42157 rega fol
GT : 12788_NOTI01181/NOTI01181000263.xml#r2l25  | Maij 1725 num 42157 reg a fol

HTR: NOTI01181/NOTI01181000263.xml#r2l33        | van Schinne, in de 19e Classis
GT : 12788_NOTI01181/NOTI01181000263.xml#r2l32  | van Schinne, in de 19e. Classis

HTR: NOTI01181/NOTI01181000263.xml#r2l34        | fol. 8452 No. 846 en geaggt.
GT : 12788_NOTI01181/NOTI01181000263.xml#r2l33  | fol, 8452 No. 846 en geaggt.

HTR: NOTI01181/NOTI01181000264.xml#r2l2         | indemneeren en kost en schadeloos bevrijden
GT : 12788_NOTI01181/NOTI01181000264.xml#r2l2   | indemneeren en kost en schadeloos bevrijden:

HTR: NOTI01181/NOTI01181000264.xml#r2l6         | in prasentie van de E Jacobus van Heun
GT : 12788_NOTI01181/NOTI01181000264.xml#r2l6   | in præsentie van de E Jacobus van Heun

HTR: NOTI01181/NOTI01181000264.xml#r2l9         | Jan Jacob Bel
GT : 12788_NOTI01181/NOTI01181000264.xml#r2l9   | Jan Jacob Bell

HTR: NOTI01181/NOTI01181000264.xml#r2l10        | Jacobus Van Hejn
GT : 12788_NOTI01181/NOTI01181000264.xml#r2l10  | Jacobus Van Heun

HTR: NOTI01181/NOTI01181000264.xml#r2l12        | H:V: Heel
GT : 12788_NOTI01181/NOTI01181000264.xml#r2l12  | H: V: Heel

HTR: NOTI01181/NOTI01181000264.xml#r1l2         | van de 12e: penning voldaan tot het Jaar
GT : 12788_NOTI01181/NOTI01181000264.xml#r1l2   | van de 12:e penning voldaan tot het Jaar

HTR: NOTI01181/NOTI01181000264.xml#r1l5         | quitantien van het praecario ^ tot Maij
GT : 12788_NOTI01181/NOTI01181000264.xml#r1l5   | quitantien van het praecario tot Maij

HTR: NOTI01181/NOTI01181000264.xml#r1l8         | land onbetaalt gelaten die de Compten
