PATTERN	COUNT	TOKENS	COVERAGE	CATEGORY	SIZE	FREQUENCY
ende soo hij	572		1716	2.29766e-05	ngram	3	1.81643e-05
ende seyde dat	572		1716	2.29766e-05	ngram	3	1.81643e-05
ende bij hem	572		1716	2.29766e-05	ngram	3	1.81643e-05
doen ofte gedoogen	572		1716	2.29766e-05	ngram	3	1.81643e-05
desen d'hr .	572		1716	2.29766e-05	ngram	3	1.81643e-05
date deses eenichsints	572		1716	2.29766e-05	ngram	3	1.81643e-05
bewys ende reliqua	572		1716	2.29766e-05	ngram	3	1.81643e-05
als dan noch	572		1716	2.29766e-05	ngram	3	1.81643e-05
te sijn aan	571		1713	2.29365e-05	ngram	3	1.81325e-05
overstaan van twee	571		1713	2.29365e-05	ngram	3	1.81325e-05
gerrit vandr groe	571		1713	2.29365e-05	ngram	3	1.81325e-05
forma , ende	571		1713	2.29365e-05	ngram	3	1.81325e-05
dit alles onder	571		1713	2.29365e-05	ngram	3	1.81325e-05
den 9en .	571		1713	2.29365e-05	ngram	3	1.81325e-05
den 13en .	571		1713	2.29365e-05	ngram	3	1.81325e-05
den 12en .	571		1713	2.29365e-05	ngram	3	1.81325e-05
vrijen wille onbedwongen	570		1710	2.28963e-05	ngram	3	1.81008e-05
Teneur van de	570		1710	2.28963e-05	ngram	3	1.81008e-05
te mogen accordeeren	570		1710	2.28963e-05	ngram	3	1.81008e-05
met magt van	570		1710	2.28963e-05	ngram	3	1.81008e-05
, in syn	570		1710	2.28963e-05	ngram	3	1.81008e-05
gedaen ende gepasseert	570		1710	2.28963e-05	ngram	3	1.81008e-05
ende te gelde	570		1710	2.28963e-05	ngram	3	1.81008e-05
een off meer	570		1710	2.28963e-05	ngram	3	1.81008e-05
desen eenigh effect	570		1710	2.28963e-05	ngram	3	1.81008e-05
de naem ende	570		1710	2.28963e-05	ngram	3	1.81008e-05
den 17en .	570		1710	2.28963e-05	ngram	3	1.81008e-05
Begeerende ende dat	570		1710	2.28963e-05	ngram	3	1.81008e-05
van de heer	569		1707	2.28561e-05	ngram	3	1.8069e-05
, soo van	569		1707	2.28561e-05	ngram	3	1.8069e-05
in als buijten	569		1707	2.28561e-05	ngram	3	1.8069e-05
, en aen	569		1707	2.28561e-05	ngram	3	1.8069e-05
die verclaarden den	569		1707	2.28561e-05	ngram	3	1.8069e-05
Authoriteijt te mogen	569		1707	2.28561e-05	ngram	3	1.8069e-05
andere sijde ,	569		1707	2.28561e-05	ngram	3	1.8069e-05
als nu bij	569		1707	2.28561e-05	ngram	3	1.8069e-05
, verleenende de	568		1704	2.28159e-05	ngram	3	1.80373e-05
verband van haar	568		1704	2.28159e-05	ngram	3	1.80373e-05
van woorde tot	568		1704	2.28159e-05	ngram	3	1.80373e-05
, soo tselve	568		1704	2.28159e-05	ngram	3	1.80373e-05
sij Compte :	568		1704	2.28159e-05	ngram	3	1.80373e-05
niet goedvind de	568		1704	2.28159e-05	ngram	3	1.80373e-05
mogen wesen ende	568		1704	2.28159e-05	ngram	3	1.80373e-05
: hier toe	568		1704	2.28159e-05	ngram	3	1.80373e-05
deses haere persoonen	568		1704	2.28159e-05	ngram	3	1.80373e-05
deser stad in	568		1704	2.28159e-05	ngram	3	1.80373e-05
sonder argelist In	567		1701	2.27758e-05	ngram	3	1.80055e-05
sij getuijgen tot	567		1701	2.27758e-05	ngram	3	1.80055e-05
, quiteerende de	567		1701	2.27758e-05	ngram	3	1.80055e-05
Op den Eersten	567		1701	2.27758e-05	ngram	3	1.80055e-05
hij Testateur tot	567		1701	2.27758e-05	ngram	3	1.80055e-05
En dit alles	567		1701	2.27758e-05	ngram	3	1.80055e-05
en de comparant	567		1701	2.27758e-05	ngram	3	1.80055e-05
en Arent de	567		1701	2.27758e-05	ngram	3	1.80055e-05
den 3en .	567		1701	2.27758e-05	ngram	3	1.80055e-05
, verstandt ende	566		1698	2.27356e-05	ngram	3	1.79738e-05
van de macht	566		1698	2.27356e-05	ngram	3	1.79738e-05
uijt krachte deses	566		1698	2.27356e-05	ngram	3	1.79738e-05
substitueeren en wijders	566		1698	2.27356e-05	ngram	3	1.79738e-05
somme van seven	566		1698	2.27356e-05	ngram	3	1.79738e-05
Op den Derden	566		1698	2.27356e-05	ngram	3	1.79738e-05
ofte list in	566		1698	2.27356e-05	ngram	3	1.79738e-05
Jan Oorthoorn ende	566		1698	2.27356e-05	ngram	3	1.79738e-05
huijsvrouw van de	566		1698	2.27356e-05	ngram	3	1.79738e-05
hondert ende vijftigh	566		1698	2.27356e-05	ngram	3	1.79738e-05
halff ende halff	566		1698	2.27356e-05	ngram	3	1.79738e-05
, geordonneert ende	566		1698	2.27356e-05	ngram	3	1.79738e-05
ende int geheel	566		1698	2.27356e-05	ngram	3	1.79738e-05
ende derselver goederen	566		1698	2.27356e-05	ngram	3	1.79738e-05
, ende allen	566		1698	2.27356e-05	ngram	3	1.79738e-05
duysent gl .	566		1698	2.27356e-05	ngram	3	1.79738e-05
, die bij	566		1698	2.27356e-05	ngram	3	1.79738e-05
david des Pommare	566		1698	2.27356e-05	ngram	3	1.79738e-05
, daer mede	566		1698	2.27356e-05	ngram	3	1.79738e-05
Comparant de opgemelde	566		1698	2.27356e-05	ngram	3	1.79738e-05
winst en verlies	565		1695	2.26954e-05	ngram	3	1.7942e-05
vruchten en renten	565		1695	2.26954e-05	ngram	3	1.7942e-05
te weeten ,	565		1695	2.26954e-05	ngram	3	1.7942e-05
@ o xviC	565		1695	2.26954e-05	ngram	3	1.7942e-05
is dat hij	565		1695	2.26954e-05	ngram	3	1.7942e-05
des noott synde	565		1695	2.26954e-05	ngram	3	1.7942e-05
den 18en .	565		1695	2.26954e-05	ngram	3	1.7942e-05
belofte van approbatie	565		1695	2.26954e-05	ngram	3	1.7942e-05
zyn Compte .	564		1692	2.26553e-05	ngram	3	1.79102e-05
versocht , die	564		1692	2.26553e-05	ngram	3	1.79102e-05
Staende op de	564		1692	2.26553e-05	ngram	3	1.79102e-05
op de beste	564		1692	2.26553e-05	ngram	3	1.79102e-05
, onder anderen	564		1692	2.26553e-05	ngram	3	1.79102e-05
Januarij des Jaars	564		1692	2.26553e-05	ngram	3	1.79102e-05
, getuijght ,	564		1692	2.26553e-05	ngram	3	1.79102e-05
geattesteert , hoe	564		1692	2.26553e-05	ngram	3	1.79102e-05
en mochte werden	564		1692	2.26553e-05	ngram	3	1.79102e-05
, ende Johannes	564		1692	2.26553e-05	ngram	3	1.79102e-05
, ende hem	564		1692	2.26553e-05	ngram	3	1.79102e-05
, de selve	564		1692	2.26553e-05	ngram	3	1.79102e-05
van D E	563		1689	2.26151e-05	ngram	3	1.78785e-05
te Amsterdam resideerende	563		1689	2.26151e-05	ngram	3	1.78785e-05
onder te noteeren	563		1689	2.26151e-05	ngram	3	1.78785e-05
mitsgrs : van	563		1689	2.26151e-05	ngram	3	1.78785e-05
, gelijck hij	563		1689	2.26151e-05	ngram	3	1.78785e-05
en westvriesland ten	563		1689	2.26151e-05	ngram	3	1.78785e-05
ende uytterste wille	563		1689	2.26151e-05	ngram	3	1.78785e-05
Ende tot meerder	563		1689	2.26151e-05	ngram	3	1.78785e-05
de comparanten in	563		1689	2.26151e-05	ngram	3	1.78785e-05
dat de Heer	563		1689	2.26151e-05	ngram	3	1.78785e-05
als off het	563		1689	2.26151e-05	ngram	3	1.78785e-05
zy Compte .	562		1686	2.25749e-05	ngram	3	1.78467e-05
wtte eerste ende	562		1686	2.25749e-05	ngram	3	1.78467e-05
van Vliet als	562		1686	2.25749e-05	ngram	3	1.78467e-05
van tijd tot	562		1686	2.25749e-05	ngram	3	1.78467e-05
van haar comparantes	562		1686	2.25749e-05	ngram	3	1.78467e-05
reekening van de	562		1686	2.25749e-05	ngram	3	1.78467e-05
@ o 1675	562		1686	2.25749e-05	ngram	3	1.78467e-05
@ o 1673	562		1686	2.25749e-05	ngram	3	1.78467e-05
Nots & a	562		1686	2.25749e-05	ngram	3	1.78467e-05
jegens de voorsz	562		1686	2.25749e-05	ngram	3	1.78467e-05
haer voor overlijden	562		1686	2.25749e-05	ngram	3	1.78467e-05
Executie te stellen	562		1686	2.25749e-05	ngram	3	1.78467e-05
ende erffel .	562		1686	2.25749e-05	ngram	3	1.78467e-05
derselver wettige descendenten	562		1686	2.25749e-05	ngram	3	1.78467e-05
dage ende Jare	562		1686	2.25749e-05	ngram	3	1.78467e-05
Capitael ten laste	562		1686	2.25749e-05	ngram	3	1.78467e-05
bekent is dat	562		1686	2.25749e-05	ngram	3	1.78467e-05
als gets :	562		1686	2.25749e-05	ngram	3	1.78467e-05
voorde somme van	561		1683	2.25348e-05	ngram	3	1.7815e-05
versaelen daer ende	561		1683	2.25348e-05	ngram	3	1.7815e-05
toe versoght ende	561		1683	2.25348e-05	ngram	3	1.7815e-05
thooner deses Desomme	561		1683	2.25348e-05	ngram	3	1.7815e-05
Testatrice heeft verklaart	561		1683	2.25348e-05	ngram	3	1.7815e-05
te overlyden ,	561		1683	2.25348e-05	ngram	3	1.7815e-05
seeventien hondert ses	561		1683	2.25348e-05	ngram	3	1.7815e-05
huijsvrouw van Jan	561		1683	2.25348e-05	ngram	3	1.7815e-05
geadmitteert in praesentie	561		1683	2.25348e-05	ngram	3	1.7815e-05
, en den	561		1683	2.25348e-05	ngram	3	1.7815e-05
Belovende hy Compt	561		1683	2.25348e-05	ngram	3	1.7815e-05
, van den	560		1680	2.24946e-05	ngram	3	1.77832e-05
tijde op alle	560		1680	2.24946e-05	ngram	3	1.77832e-05
Theunisz Schoemaker ende	560		1680	2.24946e-05	ngram	3	1.77832e-05
off kinderen bij	560		1680	2.24946e-05	ngram	3	1.77832e-05
in sijn Leven	560		1680	2.24946e-05	ngram	3	1.77832e-05
hebben gezien dat	560		1680	2.24946e-05	ngram	3	1.77832e-05
getransporteert ten huijse	560		1680	2.24946e-05	ngram	3	1.77832e-05
Geboorte desselfs ons	560		1680	2.24946e-05	ngram	3	1.77832e-05
ƒ 12 „	560		1680	2.24946e-05	ngram	3	1.77832e-05
ende een ditto	560		1680	2.24946e-05	ngram	3	1.77832e-05
ende by weygeringe	560		1680	2.24946e-05	ngram	3	1.77832e-05
dese aen den	560		1680	2.24946e-05	ngram	3	1.77832e-05
voor de waarheijd	559		1677	2.24544e-05	ngram	3	1.77515e-05
termijnen van rechten	559		1677	2.24544e-05	ngram	3	1.77515e-05
op den 9	559		1677	2.24544e-05	ngram	3	1.77515e-05
ontruijmen ende naerlaten	559		1677	2.24544e-05	ngram	3	1.77515e-05
iets uijt te	559		1677	2.24544e-05	ngram	3	1.77515e-05
geobserveert bevonden en	559		1677	2.24544e-05	ngram	3	1.77515e-05
en dus ieder	559		1677	2.24544e-05	ngram	3	1.77515e-05
Cautie te stellen	559		1677	2.24544e-05	ngram	3	1.77515e-05
aan d '	559		1677	2.24544e-05	ngram	3	1.77515e-05
wetten , ende	558		1674	2.24143e-05	ngram	3	1.77197e-05
van holland geadmitteert	558		1674	2.24143e-05	ngram	3	1.77197e-05
uijterste willen ,	558		1674	2.24143e-05	ngram	3	1.77197e-05
soude kunnen ofte	558		1674	2.24143e-05	ngram	3	1.77197e-05
savonts de klocke	558		1674	2.24143e-05	ngram	3	1.77197e-05
quitantie ten behoeven	558		1674	2.24143e-05	ngram	3	1.77197e-05
gelove hiertoe versocht	558		1674	2.24143e-05	ngram	3	1.77197e-05
en de Comparant	558		1674	2.24143e-05	ngram	3	1.77197e-05
een twee en	558		1674	2.24143e-05	ngram	3	1.77197e-05
behoort tot dese	558		1674	2.24143e-05	ngram	3	1.77197e-05
administratie over wesen	558		1674	2.24143e-05	ngram	3	1.77197e-05
weduwe van Pieter	557		1671	2.23741e-05	ngram	3	1.7688e-05
van d Hr	557		1671	2.23741e-05	ngram	3	1.7688e-05
ter camere alhier	557		1671	2.23741e-05	ngram	3	1.7688e-05
stad , en	557		1671	2.23741e-05	ngram	3	1.7688e-05
opregt gedaan t	557		1671	2.23741e-05	ngram	3	1.7688e-05
nog alles te	557		1671	2.23741e-05	ngram	3	1.7688e-05
, maer want	557		1671	2.23741e-05	ngram	3	1.7688e-05
hij comparant ter	557		1671	2.23741e-05	ngram	3	1.7688e-05
het geen de	557		1671	2.23741e-05	ngram	3	1.7688e-05
, get. verclaert	557		1671	2.23741e-05	ngram	3	1.7688e-05
ende Johannes Seullijn	557		1671	2.23741e-05	ngram	3	1.7688e-05
en daar van	557		1671	2.23741e-05	ngram	3	1.7688e-05
doende bij deesen	557		1671	2.23741e-05	ngram	3	1.7688e-05
dienst vande Westinde	557		1671	2.23741e-05	ngram	3	1.7688e-05
deser stede Ende	557		1671	2.23741e-05	ngram	3	1.7688e-05
dato den 14	557		1671	2.23741e-05	ngram	3	1.7688e-05
daer op de	557		1671	2.23741e-05	ngram	3	1.7688e-05
benamingen die ook	557		1671	2.23741e-05	ngram	3	1.7688e-05
anders niet ,	557		1671	2.23741e-05	ngram	3	1.7688e-05
te disponeeren ,	556		1668	2.23339e-05	ngram	3	1.76562e-05
of ander een	556		1668	2.23339e-05	ngram	3	1.76562e-05
@ o 1641	556		1668	2.23339e-05	ngram	3	1.76562e-05
hen voor deesen	556		1668	2.23339e-05	ngram	3	1.76562e-05
en versterven op	556		1668	2.23339e-05	ngram	3	1.76562e-05
en in het	556		1668	2.23339e-05	ngram	3	1.76562e-05
bij dezen te	556		1668	2.23339e-05	ngram	3	1.76562e-05
vordere goederen gene	555		1665	2.22938e-05	ngram	3	1.76244e-05
, veel min	555		1665	2.22938e-05	ngram	3	1.76244e-05
van Mr. Pieter	555		1665	2.22938e-05	ngram	3	1.76244e-05
tot dato deses	555		1665	2.22938e-05	ngram	3	1.76244e-05
stad en aan	555		1665	2.22938e-05	ngram	3	1.76244e-05
name des Heren	555		1665	2.22938e-05	ngram	3	1.76244e-05
kost , ende	555		1665	2.22938e-05	ngram	3	1.76244e-05
gedaen , ende	555		1665	2.22938e-05	ngram	3	1.76244e-05
en wijders alles	555		1665	2.22938e-05	ngram	3	1.76244e-05
ende den onderges	555		1665	2.22938e-05	ngram	3	1.76244e-05
de Heer Daniel	555		1665	2.22938e-05	ngram	3	1.76244e-05
/ als getuijgen	555		1665	2.22938e-05	ngram	3	1.76244e-05
uijterlijck bleeck wel	554		1662	2.22536e-05	ngram	3	1.75927e-05
Testamenten Codicillen ende	554		1662	2.22536e-05	ngram	3	1.75927e-05
sy get op	554		1662	2.22536e-05	ngram	3	1.75927e-05
over te geven	554		1662	2.22536e-05	ngram	3	1.75927e-05
Interessen alvoldaen en	554		1662	2.22536e-05	ngram	3	1.75927e-05
, ende als	554		1662	2.22536e-05	ngram	3	1.75927e-05
, domicilium te	554		1662	2.22536e-05	ngram	3	1.75927e-05
den Jare van	554		1662	2.22536e-05	ngram	3	1.75927e-05
, Dat sij	554		1662	2.22536e-05	ngram	3	1.75927e-05
als voogden van	554		1662	2.22536e-05	ngram	3	1.75927e-05
als hij Compt	554		1662	2.22536e-05	ngram	3	1.75927e-05
alhier ter Steede	554		1662	2.22536e-05	ngram	3	1.75927e-05
( achter de	554		1662	2.22536e-05	ngram	3	1.75927e-05
, present ,	553		1659	2.22134e-05	ngram	3	1.75609e-05
of administratie over	553		1659	2.22134e-05	ngram	3	1.75609e-05
Jare voorss .	553		1659	2.22134e-05	ngram	3	1.75609e-05
in banco deser	553		1659	2.22134e-05	ngram	3	1.75609e-05
gedirigeert ende hier	553		1659	2.22134e-05	ngram	3	1.75609e-05
gaende staende haer	553		1659	2.22134e-05	ngram	3	1.75609e-05
De voorss .	553		1659	2.22134e-05	ngram	3	1.75609e-05
de Somma van	553		1659	2.22134e-05	ngram	3	1.75609e-05
by desen alle	553		1659	2.22134e-05	ngram	3	1.75609e-05
argelist , In	553		1659	2.22134e-05	ngram	3	1.75609e-05
van hem 1	552		1656	2.21732e-05	ngram	3	1.75292e-05
van Gerrit vander	552		1656	2.21732e-05	ngram	3	1.75292e-05
, ten deesen	552		1656	2.21732e-05	ngram	3	1.75292e-05
sij getuijgen ,	552		1656	2.21732e-05	ngram	3	1.75292e-05
schaden en interessen	552		1656	2.21732e-05	ngram	3	1.75292e-05
sal de voorsz	552		1656	2.21732e-05	ngram	3	1.75292e-05
off bij haer	552		1656	2.21732e-05	ngram	3	1.75292e-05
in omnibus adlites	552		1656	2.21732e-05	ngram	3	1.75292e-05
hem 1e: get	552		1656	2.21732e-05	ngram	3	1.75292e-05
heeft verklaart geen	552		1656	2.21732e-05	ngram	3	1.75292e-05
gegoed te sijn	552		1656	2.21732e-05	ngram	3	1.75292e-05
gedaan t amsterdam	552		1656	2.21732e-05	ngram	3	1.75292e-05
ƒ 3 :	552		1656	2.21732e-05	ngram	3	1.75292e-05
drie en een	552		1656	2.21732e-05	ngram	3	1.75292e-05
dat zij de	552		1656	2.21732e-05	ngram	3	1.75292e-05
by haer voor	552		1656	2.21732e-05	ngram	3	1.75292e-05
behoeve van Sr.	552		1656	2.21732e-05	ngram	3	1.75292e-05
alle deselve hare	552		1656	2.21732e-05	ngram	3	1.75292e-05
van de nabess	551		1653	2.21331e-05	ngram	3	1.74974e-05
uit hoofde van	551		1653	2.21331e-05	ngram	3	1.74974e-05
sa : Jan	551		1653	2.21331e-05	ngram	3	1.74974e-05
onder de hand	551		1653	2.21331e-05	ngram	3	1.74974e-05
@ o 1695	551		1653	2.21331e-05	ngram	3	1.74974e-05
jegens eene yegel	551		1653	2.21331e-05	ngram	3	1.74974e-05
hen deswegens en	551		1653	2.21331e-05	ngram	3	1.74974e-05
en voor namaninge	551		1653	2.21331e-05	ngram	3	1.74974e-05
Comparant de kooppenningen	551		1653	2.21331e-05	ngram	3	1.74974e-05
als daerbuijten noch	551		1653	2.21331e-05	ngram	3	1.74974e-05
alhier in dato	551		1653	2.21331e-05	ngram	3	1.74974e-05
woonende binnen deese	550		1650	2.20929e-05	ngram	3	1.74657e-05
voor noen .	550		1650	2.20929e-05	ngram	3	1.74657e-05
sa : man	550		1650	2.20929e-05	ngram	3	1.74657e-05
Op den Seven	550		1650	2.20929e-05	ngram	3	1.74657e-05
levenden off andersints	550		1650	2.20929e-05	ngram	3	1.74657e-05
ende eene van	550		1650	2.20929e-05	ngram	3	1.74657e-05
ende der selver	550		1650	2.20929e-05	ngram	3	1.74657e-05
, Eerstel .	550		1650	2.20929e-05	ngram	3	1.74657e-05
doen by desen	550		1650	2.20929e-05	ngram	3	1.74657e-05
dito met een	550		1650	2.20929e-05	ngram	3	1.74657e-05
bij testament op	550		1650	2.20929e-05	ngram	3	1.74657e-05
wederom te restitueren	549		1647	2.20527e-05	ngram	3	1.74339e-05
van wetenschap als	549		1647	2.20527e-05	ngram	3	1.74339e-05
te behoren ,	549		1647	2.20527e-05	ngram	3	1.74339e-05
presentie van Wouter	549		1647	2.20527e-05	ngram	3	1.74339e-05
Notaris bekent ,	549		1647	2.20527e-05	ngram	3	1.74339e-05
Inden Jare desselfs	549		1647	2.20527e-05	ngram	3	1.74339e-05
ieder voor een	549		1647	2.20527e-05	ngram	3	1.74339e-05
huyse van de	549		1647	2.20527e-05	ngram	3	1.74339e-05
huijse mijns Notarij	549		1647	2.20527e-05	ngram	3	1.74339e-05
ende staende ,	549		1647	2.20527e-05	ngram	3	1.74339e-05
ende andere goederen	549		1647	2.20527e-05	ngram	3	1.74339e-05
drie en vijftig	549		1647	2.20527e-05	ngram	3	1.74339e-05
, dat bij	549		1647	2.20527e-05	ngram	3	1.74339e-05
staende op vertreck	548		1644	2.20126e-05	ngram	3	1.74022e-05
niet verder dan	548		1644	2.20126e-05	ngram	3	1.74022e-05
laste van t	548		1644	2.20126e-05	ngram	3	1.74022e-05
is dat sy	548		1644	2.20126e-05	ngram	3	1.74022e-05
groot een duijsend	548		1644	2.20126e-05	ngram	3	1.74022e-05
erve gestaen ende	548		1644	2.20126e-05	ngram	3	1.74022e-05
, ende ter	548		1644	2.20126e-05	ngram	3	1.74022e-05
een somme Van	548		1644	2.20126e-05	ngram	3	1.74022e-05
den vollen eygendom	548		1644	2.20126e-05	ngram	3	1.74022e-05
als oock in	548		1644	2.20126e-05	ngram	3	1.74022e-05
zoo als bevonden	547		1641	2.19724e-05	ngram	3	1.73704e-05
verdragen te syn	547		1641	2.19724e-05	ngram	3	1.73704e-05
van de overleedene	547		1641	2.19724e-05	ngram	3	1.73704e-05
uit aanmerkinge van	547		1641	2.19724e-05	ngram	3	1.73704e-05
out ontt .	547		1641	2.19724e-05	ngram	3	1.73704e-05
op huijden den	547		1641	2.19724e-05	ngram	3	1.73704e-05
getuijgen opgerecht ,	547		1641	2.19724e-05	ngram	3	1.73704e-05
gemaeckt geordonneert ende	547		1641	2.19724e-05	ngram	3	1.73704e-05
d ' eerbare	547		1641	2.19724e-05	ngram	3	1.73704e-05
, by de	547		1641	2.19724e-05	ngram	3	1.73704e-05
alvoldaen ende betaelt	547		1641	2.19724e-05	ngram	3	1.73704e-05
thans sijnde binnen	546		1638	2.19322e-05	ngram	3	1.73386e-05
onroerende , present	546		1638	2.19322e-05	ngram	3	1.73386e-05
krachte van de	546		1638	2.19322e-05	ngram	3	1.73386e-05
in desen laet	546		1638	2.19322e-05	ngram	3	1.73386e-05
get. my ten	546		1638	2.19322e-05	ngram	3	1.73386e-05
, gestelt ende	546		1638	2.19322e-05	ngram	3	1.73386e-05
en waren voor	546		1638	2.19322e-05	ngram	3	1.73386e-05
Ende heeft geconst	546		1638	2.19322e-05	ngram	3	1.73386e-05
duijsent guldens gegoed	546		1638	2.19322e-05	ngram	3	1.73386e-05
deswegens en beloovden	546		1638	2.19322e-05	ngram	3	1.73386e-05
deser stede /	546		1638	2.19322e-05	ngram	3	1.73386e-05
de eerst stervende	546		1638	2.19322e-05	ngram	3	1.73386e-05
conen ende mogen	546		1638	2.19322e-05	ngram	3	1.73386e-05
bij desen te	546		1638	2.19322e-05	ngram	3	1.73386e-05
aanspraak te zullen	546		1638	2.19322e-05	ngram	3	1.73386e-05
wilde als alsulcx	545		1635	2.18921e-05	ngram	3	1.73069e-05
, tot haar	545		1635	2.18921e-05	ngram	3	1.73069e-05
sonder eenige reserve	545		1635	2.18921e-05	ngram	3	1.73069e-05
ontfangen mitsgrs :	545		1635	2.18921e-05	ngram	3	1.73069e-05
@ o 1683	545		1635	2.18921e-05	ngram	3	1.73069e-05
naar welgevallen te	545		1635	2.18921e-05	ngram	3	1.73069e-05
eysschen , vorderen	545		1635	2.18921e-05	ngram	3	1.73069e-05
en was get.	545		1635	2.18921e-05	ngram	3	1.73069e-05
ende eerder niet	545		1635	2.18921e-05	ngram	3	1.73069e-05
d van dr	545		1635	2.18921e-05	ngram	3	1.73069e-05
dienvolgende getransporteert gecedeert	545		1635	2.18921e-05	ngram	3	1.73069e-05
desselfs ons Heeren	545		1635	2.18921e-05	ngram	3	1.73069e-05
den gemeenen boedel	545		1635	2.18921e-05	ngram	3	1.73069e-05
den 6en .	545		1635	2.18921e-05	ngram	3	1.73069e-05
, daer toe	545		1635	2.18921e-05	ngram	3	1.73069e-05
boedel van de	545		1635	2.18921e-05	ngram	3	1.73069e-05
actien , crediten	545		1635	2.18921e-05	ngram	3	1.73069e-05
verbandt dies niettemin	544		1632	2.18519e-05	ngram	3	1.72751e-05
van uijterste willens	544		1632	2.18519e-05	ngram	3	1.72751e-05
ure des doots	544		1632	2.18519e-05	ngram	3	1.72751e-05
portie , deselve	544		1632	2.18519e-05	ngram	3	1.72751e-05
in dier voegen	544		1632	2.18519e-05	ngram	3	1.72751e-05
, groot een	544		1632	2.18519e-05	ngram	3	1.72751e-05
ende volkomentlijck gebruijckende	544		1632	2.18519e-05	ngram	3	1.72751e-05
daar mede doen	544		1632	2.18519e-05	ngram	3	1.72751e-05
wesen ende tot	543		1629	2.18117e-05	ngram	3	1.72434e-05
uijt te setten	543		1629	2.18117e-05	ngram	3	1.72434e-05
transport ten behoeven	543		1629	2.18117e-05	ngram	3	1.72434e-05
sijn sal ,	543		1629	2.18117e-05	ngram	3	1.72434e-05
residerende in presentie	543		1629	2.18117e-05	ngram	3	1.72434e-05
onderstant van desen	543		1629	2.18117e-05	ngram	3	1.72434e-05
onder de voorn	543		1629	2.18117e-05	ngram	3	1.72434e-05
noch te verschijnen	543		1629	2.18117e-05	ngram	3	1.72434e-05
niet en is	543		1629	2.18117e-05	ngram	3	1.72434e-05
Inventaris van den	543		1629	2.18117e-05	ngram	3	1.72434e-05
en gelevert te	543		1629	2.18117e-05	ngram	3	1.72434e-05
door den selven	543		1629	2.18117e-05	ngram	3	1.72434e-05
, des dat	543		1629	2.18117e-05	ngram	3	1.72434e-05
den Voorn .	543		1629	2.18117e-05	ngram	3	1.72434e-05
dat als zulx	543		1629	2.18117e-05	ngram	3	1.72434e-05
by desen syn	543		1629	2.18117e-05	ngram	3	1.72434e-05
binnen dese Stadt	543		1629	2.18117e-05	ngram	3	1.72434e-05
bij sijn voor	543		1629	2.18117e-05	ngram	3	1.72434e-05
aen mij Nots	543		1629	2.18117e-05	ngram	3	1.72434e-05
sulx hij doet	542		1626	2.17716e-05	ngram	3	1.72116e-05
om daar meede	542		1626	2.17716e-05	ngram	3	1.72116e-05
desen sal werden	542		1626	2.17716e-05	ngram	3	1.72116e-05
aengedient tgeene volcht	542		1626	2.17716e-05	ngram	3	1.72116e-05
aan hen comparanten	542		1626	2.17716e-05	ngram	3	1.72116e-05
„ 2 „	542		1626	2.17716e-05	ngram	3	1.72116e-05
Zy Compten .	541		1623	2.17314e-05	ngram	3	1.71799e-05
, wonende opde	541		1623	2.17314e-05	ngram	3	1.71799e-05
versoecken ende aenhoren	541		1623	2.17314e-05	ngram	3	1.71799e-05
, ter saecke	541		1623	2.17314e-05	ngram	3	1.71799e-05
sullen tot de	541		1623	2.17314e-05	ngram	3	1.71799e-05
Schuldich te wesen	541		1623	2.17314e-05	ngram	3	1.71799e-05
op de grond	541		1623	2.17314e-05	ngram	3	1.71799e-05
of andersints te	541		1623	2.17314e-05	ngram	3	1.71799e-05
mij mette naergenoemde	541		1623	2.17314e-05	ngram	3	1.71799e-05
haer wel onderrecht	541		1623	2.17314e-05	ngram	3	1.71799e-05
geadmitteerd te Amsterdam	541		1623	2.17314e-05	ngram	3	1.71799e-05
eysschen of pretenderen	541		1623	2.17314e-05	ngram	3	1.71799e-05
Clercq als get.	541		1623	2.17314e-05	ngram	3	1.71799e-05
ter Camere voorsz	540		1620	2.16912e-05	ngram	3	1.71481e-05
reerden voor mij	540		1620	2.16912e-05	ngram	3	1.71481e-05
op den 10	540		1620	2.16912e-05	ngram	3	1.71481e-05
niets uitgesondert ,	540		1620	2.16912e-05	ngram	3	1.71481e-05
is competerende volgens	540		1620	2.16912e-05	ngram	3	1.71481e-05
in desen begrepen	540		1620	2.16912e-05	ngram	3	1.71481e-05
en alle anderen	540		1620	2.16912e-05	ngram	3	1.71481e-05
dien eynde de	540		1620	2.16912e-05	ngram	3	1.71481e-05
de Colonie van	540		1620	2.16912e-05	ngram	3	1.71481e-05
Compt : verclaert	540		1620	2.16912e-05	ngram	3	1.71481e-05
alle dagen ende	540		1620	2.16912e-05	ngram	3	1.71481e-05
vier gl .	539		1617	2.1651e-05	ngram	3	1.71164e-05
uit krachte van	539		1617	2.1651e-05	ngram	3	1.71164e-05
Residerende Openbaer Nots	539		1617	2.1651e-05	ngram	3	1.71164e-05
, niets uitgesondert	539		1617	2.1651e-05	ngram	3	1.71164e-05
, Ende in	539		1617	2.1651e-05	ngram	3	1.71164e-05
ende deuchdelijck schuldigh	539		1617	2.1651e-05	ngram	3	1.71164e-05
ende datel .	539		1617	2.1651e-05	ngram	3	1.71164e-05
eenre , Ende	539		1617	2.1651e-05	ngram	3	1.71164e-05
den Seven en	539		1617	2.1651e-05	ngram	3	1.71164e-05
